"Round","Date","Time","HomeTeam","HowegoalsFT","AwaygoalsFT","HomegoalsHT","AwaygoalsHT","AwayTeam","Month","Day","Year"
"4",2020-08-30,"13.30","KRC Genk","1","2","0","1","Club Brugge","Aug","30",2020
"4",2020-08-30,"20.45","KAA Gent","1","0","1","0","KV Mechelen","Aug","30",2020
"4",2020-08-30,"18.15","Sporting Charleroi","2","0","1","0","Royal Antwerp FC","Aug","30",2020
"4",2020-08-30,"16.00","Beerschot VA","0","3","0","1","Standard Liège","Aug","30",2020
"5",2020-09-11,"20.45","KAS Eupen","2","1","1","0","KAA Gent","Sep","11",2020
"5",2020-09-12,"16.15","KV Mechelen","0","1","0","0","KV Oostende","Sep","12",2020
"5",2020-09-12,"18.30","Oud-Heverlee Leuven","1","0","0","0","Standard Liège","Sep","12",2020
"5",2020-09-12,"20.45","Club Brugge","4","1","2","1","Waasland-Beveren","Sep","12",2020
"5",2020-09-13,"20.45","KV Kortrijk","3","0","0","0","Royal Excel Mouscron","Sep","13",2020
"5",2020-09-13,"16.00","Sint-Truidense VV","2","3","2","2","Royal Antwerp FC","Sep","13",2020
"5",2020-09-13,"18.15","SV Zulte Waregem","0","2","0","0","Sporting Charleroi","Sep","13",2020
"5",2020-09-13,"13.30","RSC Anderlecht","2","0","1","0","Cercle Brugge","Sep","13",2020
"5",2020-09-14,"20.45","Beerschot VA","5","2","1","1","KRC Genk","Sep","14",2020
"6",2020-09-18,"20.45","Sporting Charleroi","3","1","1","0","Beerschot VA","Sep","18",2020
"6",2020-09-19,"16.15","KV Oostende","3","1","1","0","Oud-Heverlee Leuven","Sep","19",2020
"6",2020-09-19,"18.30","Royal Excel Mouscron","0","1","0","1","KAA Gent","Sep","19",2020
"6",2020-09-19,"20.45","Waasland-Beveren","2","4","0","2","RSC Anderlecht","Sep","19",2020
"6",2020-09-20,"13.30","SV Zulte Waregem","0","6","0","4","Club Brugge","Sep","20",2020
"6",2020-09-20,"16.00","Standard Liège","2","1","2","1","KV Kortrijk","Sep","20",2020
"6",2020-09-20,"18.15","KRC Genk","3","1","1","1","KV Mechelen","Sep","20",2020
"6",2020-09-20,"20.45","Royal Antwerp FC","2","2","0","1","KAS Eupen","Sep","20",2020
"6",2020-09-21,"20.45","Cercle Brugge","3","0","2","0","Sint-Truidense VV","Sep","21",2020
"7",2020-09-25,"20.45","KV Kortrijk","1","3","1","0","Royal Antwerp FC","Sep","25",2020
"7",2020-09-26,"18.30","KV Mechelen","2","0","0","0","Sint-Truidense VV","Sep","26",2020
"7",2020-09-26,"16.15","Beerschot VA","3","2","1","2","Waasland-Beveren","Sep","26",2020
"7",2020-09-26,"20.45","KAA Gent","2","3","0","2","Oud-Heverlee Leuven","Sep","26",2020
"7",2020-09-27,"13.30","Standard Liège","2","2","0","1","SV Zulte Waregem","Sep","27",2020
"7",2020-09-27,"16.00","RSC Anderlecht","1","1","0","0","KAS Eupen","Sep","27",2020
"7",2020-09-27,"18.15","Club Brugge","2","1","1","0","Cercle Brugge","Sep","27",2020
"7",2020-09-27,"20.45","Royal Excel Mouscron","1","1","1","1","Sporting Charleroi","Sep","27",2020
"7",2020-09-28,"20.45","KRC Genk","2","2","1","1","KV Oostende","Sep","28",2020
"8",2020-10-02,"20.45","Royal Antwerp FC","4","1","3","0","KV Mechelen","Oct","2",2020
"8",2020-10-03,"16.15","Waasland-Beveren","1","1","0","0","KRC Genk","Oct","3",2020
"8",2020-10-03,"18.30","KAS Eupen","1","2","1","1","Cercle Brugge","Oct","3",2020
"8",2020-10-03,"18.30","Oud-Heverlee Leuven","2","1","1","0","SV Zulte Waregem","Oct","3",2020
"8",2020-10-03,"20.45","Sint-Truidense VV","0","0",NA,NA,"KV Kortrijk","Oct","3",2020
"8",2020-10-04,"13.30","Club Brugge","3","0","1","0","RSC Anderlecht","Oct","4",2020
"8",2020-10-04,"16.00","KAA Gent","5","1","3","0","Beerschot VA","Oct","4",2020
"8",2020-10-04,"18.15","Sporting Charleroi","1","2","0","0","Standard Liège","Oct","4",2020
"8",2020-10-04,"20.45","KV Oostende","3","0","0","0","Royal Excel Mouscron","Oct","4",2020
"9",2020-10-17,"16.15","Cercle Brugge",NA,NA,NA,NA,"KAA Gent","Oct","17",2020
"9",2020-10-17,"18.30","Beerschot VA",NA,NA,NA,NA,"Sint-Truidense VV","Oct","17",2020
"9",2020-10-17,"18.30","KV Mechelen",NA,NA,NA,NA,"KV Kortrijk","Oct","17",2020
"9",2020-10-17,"20.45","Standard Liège",NA,NA,NA,NA,"Club Brugge","Oct","17",2020
"9",2020-10-18,"13.30","SV Zulte Waregem",NA,NA,NA,NA,"Royal Antwerp FC","Oct","18",2020
"9",2020-10-18,"16.00","Royal Excel Mouscron",NA,NA,NA,NA,"KAS Eupen","Oct","18",2020
"9",2020-10-18,"18.15","KRC Genk",NA,NA,NA,NA,"Sporting Charleroi","Oct","18",2020
"9",2020-10-18,"20.45","RSC Anderlecht",NA,NA,NA,NA,"Oud-Heverlee Leuven","Oct","18",2020
"9",2020-10-19,"20.45","KV Oostende",NA,NA,NA,NA,"Waasland-Beveren","Oct","19",2020
"10",2020-10-24,"20.45","Cercle Brugge",NA,NA,NA,NA,"Royal Excel Mouscron","Oct","24",2020
"10",2020-10-24,"20.45","Royal Antwerp FC",NA,NA,NA,NA,"Beerschot VA","Oct","24",2020
"10",2020-10-24,"20.45","KAA Gent",NA,NA,NA,NA,"KRC Genk","Oct","24",2020
"10",2020-10-24,"20.45","KAS Eupen",NA,NA,NA,NA,"KV Mechelen","Oct","24",2020
"10",2020-10-24,"20.45","KV Kortrijk",NA,NA,NA,NA,"RSC Anderlecht","Oct","24",2020
"10",2020-10-24,"20.45","KV Oostende",NA,NA,NA,NA,"SV Zulte Waregem","Oct","24",2020
"10",2020-10-24,"20.45","Oud-Heverlee Leuven",NA,NA,NA,NA,"Club Brugge","Oct","24",2020
"10",2020-10-24,"20.45","Sporting Charleroi",NA,NA,NA,NA,"Waasland-Beveren","Oct","24",2020
"10",2020-10-24,"20.45","Sint-Truidense VV",NA,NA,NA,NA,"Standard Liège","Oct","24",2020
"11",2020-10-31,"20.45","Beerschot VA",NA,NA,NA,NA,"Oud-Heverlee Leuven","Oct","31",2020
"11",2020-10-31,"20.45","Club Brugge",NA,NA,NA,NA,"KV Mechelen","Oct","31",2020
"11",2020-10-31,"20.45","KRC Genk",NA,NA,NA,NA,"KAS Eupen","Oct","31",2020
"11",2020-10-31,"20.45","KAA Gent",NA,NA,NA,NA,"Waasland-Beveren","Oct","31",2020
"11",2020-10-31,"20.45","RSC Anderlecht",NA,NA,NA,NA,"Royal Antwerp FC","Oct","31",2020
